trial,sort,part,pair,stim_1,stim_2,stim_left,stim_right,choice_stim_left,choice_stim_right,leftright_counter,longdelay,random
1,6,1,6,8,10,8,10,images/choice_trial_8.png,images/choice_trial_10.png,0,0,0.305341399
2,3,1,3,11,4,4,11,images/choice_trial_4.png,images/choice_trial_11.png,1,1,0.569286719
3,5,1,5,14,9,9,14,images/choice_trial_9.png,images/choice_trial_14.png,1,0,0.245750771
4,4,1,4,7,13,13,7,images/choice_trial_13.png,images/choice_trial_7.png,1,0,0.010349965
5,2,1,2,16,2,16,2,images/choice_trial_16.png,images/choice_trial_2.png,0,1,0.397351495
6,1,1,1,6,15,15,6,images/choice_trial_15.png,images/choice_trial_6.png,1,1,0.227240157
7,7,2,12,6,2,6,2,images/choice_trial_6.png,images/choice_trial_2.png,0,1,0.359067747
8,10,2,45,7,9,9,7,images/choice_trial_9.png,images/choice_trial_7.png,1,0,0.705027208
9,8,2,23,16,4,4,16,images/choice_trial_4.png,images/choice_trial_16.png,1,1,0.398662264
10,11,2,56,14,10,14,10,images/choice_trial_14.png,images/choice_trial_10.png,0,0,0.311111409
11,9,2,31,11,15,11,15,images/choice_trial_11.png,images/choice_trial_15.png,0,1,0.339880584
12,12,2,64,8,13,13,8,images/choice_trial_13.png,images/choice_trial_8.png,1,0,0.313997191
13,15,3,36,11,8,11,8,images/choice_trial_11.png,images/choice_trial_8.png,0,0.5,0.266753326
14,18,3,34,4,13,13,4,images/choice_trial_13.png,images/choice_trial_4.png,1,0.5,0.164927727
15,14,3,25,16,14,14,16,images/choice_trial_14.png,images/choice_trial_16.png,1,0.5,0.786276778
16,17,3,26,2,10,2,10,images/choice_trial_2.png,images/choice_trial_10.png,0,0.5,0.315552848
17,13,3,14,6,7,6,7,images/choice_trial_6.png,images/choice_trial_7.png,0,0.5,0.223775442
18,16,3,15,15,9,9,15,images/choice_trial_9.png,images/choice_trial_15.png,1,0.5,0.208150595