trial,sort,sort_counterbal,pair,stimid,stimulus,value_true,prob_true,delay,rand
1,11,6,6,16,16,0,0.77,0,0.688789494
2,6,11,3,10,10,0,0.23,1,0.206810066
3,5,3,3,13,13,0,0.77,1,0.206810066
4,13,7,7,6,6,0,0.77,0,0.363890746
5,10,13,5,2,2,0,0.23,0,0.419076369
6,7,4,4,15,15,0,0.77,1,0.810878843
7,14,15,7,12,12,0,0.23,0,0.363890746
8,8,12,4,9,9,0,0.23,1,0.810878843
9,12,14,6,3,3,0,0.23,0,0.688789494
10,1,1,1,14,14,0,0.77,1,0.987186407
11,2,9,1,8,8,0,0.23,1,0.987186407
12,9,5,5,11,11,0,0.77,0,0.419076369